,acquisition_function,kappa,xi,median_best_solution,mean_loss
0,ei,1,0.5,14.0,-8
1,ei,1,0.6,14.0,-8
2,ei,1,0.7999999999999999,15.0,-7
3,ei,1,0.8999999999999999,15.0,-8
4,ei,1,0.9999999999999999,14.0,-8
5,ei,1,1.0999999999999999,15.0,-7
6,ei,1,1.1999999999999997,13.0,-8
7,ei,1,1.2999999999999998,15.0,-8
8,ei,1,1.4,14.0,-8
9,ei,2,0.5,14.5,-9
10,ei,2,0.7999999999999999,14.0,-9
11,ei,2,0.8999999999999999,15.0,-8
12,ei,2,0.9999999999999999,15.0,-7
13,ei,2,1.0999999999999999,15.5,-8
14,ei,2,1.1999999999999997,14.5,-8
15,ei,2,1.2999999999999998,14.0,-8
16,ei,2,1.4,15.0,-7
17,ei,3,0.5,13.0,-7
18,ei,3,0.6,13.5,-8
19,ei,3,0.7,14.0,-9
20,ei,3,0.7999999999999999,15.0,-8
21,ei,3,0.8999999999999999,14.0,-7
22,ei,3,1.0999999999999999,13.0,-7
23,ei,3,1.1999999999999997,15.0,-8
24,ei,3,1.2999999999999998,14.0,-8
25,ei,3,1.4,14.0,-8
26,ei,4,0.5,15.0,-8
27,ei,4,0.6,14.0,-8
28,ei,4,0.8999999999999999,14.0,-8
29,ei,4,0.9999999999999999,15.0,-8
30,ei,4,1.2999999999999998,14.5,-8
31,ei,4,1.4,14.0,-8
32,ei,5,0.5,14.0,-8
33,ei,5,0.6,15.0,-9
34,ei,5,0.7,13.5,-9
35,ei,5,0.9999999999999999,15.0,-7
36,ei,5,1.0999999999999999,15.0,-8
37,ei,5,1.1999999999999997,15.0,-8
38,ei,5,1.2999999999999998,14.0,-9
39,ei,5,1.4,14.0,-8
