,acquisition_function,kappa,xi,median_best_solution,mean_loss
0,ucb,0,0.0,14.0,-11
1,ucb,0,0.1,15.0,-8
2,ucb,0,0.2,14.5,-12
3,ucb,0,0.30000000000000004,15.0,-11
4,ucb,0,0.4,14.0,-12
5,ucb,0,0.5,13.0,-10
6,ucb,0,0.6000000000000001,16.0,-14
7,ucb,0,0.7000000000000001,12.5,-8
8,ucb,0,0.8,12.0,-16
9,ucb,0,0.9,12.5,-17
10,ucb,1,0.0,13.5,-9
11,ucb,1,0.1,15.5,-8
12,ucb,1,0.2,16.5,-7
13,ucb,1,0.30000000000000004,8.5,-7
14,ucb,1,0.4,14.5,-11
15,ucb,1,0.6000000000000001,11.5,-8
16,ucb,1,0.7000000000000001,12.5,-7
17,ucb,1,0.8,11.0,-9
18,ucb,1,0.9,15.0,-10
19,ucb,2,0.0,14.5,-8
20,ucb,2,0.1,15.0,-8
21,ucb,2,0.2,15.0,-6
22,ucb,2,0.30000000000000004,15.0,-8
23,ucb,2,0.4,14.0,-8
24,ucb,2,0.5,14.5,-8
25,ucb,2,0.6000000000000001,17.0,-9
26,ucb,2,0.7000000000000001,11.5,-9
27,ucb,2,0.8,14.0,-10
28,ucb,2,0.9,16.0,-6
29,ucb,3,0.0,16.0,-8
30,ucb,3,0.1,17.0,-5
31,ucb,3,0.2,16.5,-8
32,ucb,3,0.30000000000000004,16.0,-9
33,ucb,3,0.4,17.0,-7
34,ucb,3,0.5,16.5,-9
35,ucb,3,0.6000000000000001,16.5,-7
36,ucb,3,0.8,13.5,-7
37,ucb,3,0.9,9.5,-6
38,ucb,4,0.0,12.0,-7
39,ucb,4,0.1,13.5,-5
40,ucb,4,0.2,16.5,-7
41,ucb,4,0.30000000000000004,13.5,-7
42,ucb,4,0.4,15.0,-5
43,ucb,4,0.5,17.0,-8
44,ucb,4,0.6000000000000001,12.5,-9
45,ucb,4,0.7000000000000001,10.0,-9
46,ucb,4,0.8,12.5,-9
47,ucb,4,0.9,11.0,-9
48,ucb,5,0.0,13.5,-6
49,ucb,5,0.1,12.5,-8
50,ucb,5,0.2,13.5,-9
51,ucb,5,0.30000000000000004,16.5,-11
52,ucb,5,0.4,11.5,-9
53,ucb,5,0.5,9.0,-7
54,ucb,5,0.6000000000000001,10.0,-9
55,ucb,5,0.7000000000000001,15.5,-8
56,ucb,5,0.8,14.5,-10
57,ucb,5,0.9,14.5,-9
58,ucb,6,0.0,8.0,-8
59,ucb,6,0.1,12.5,-9
60,ucb,6,0.2,15.0,-10
61,ucb,6,0.30000000000000004,8.0,-10
62,ucb,6,0.4,14.5,-9
63,ucb,6,0.5,10.5,-10
64,ucb,6,0.6000000000000001,15.0,-9
65,ucb,6,0.7000000000000001,12.0,-10
66,ucb,6,0.8,9.0,-10
67,ucb,6,0.9,14.0,-9
68,ucb,7,0.0,11.5,-10
69,ucb,7,0.1,8.0,-8
70,ucb,7,0.2,13.0,-10
71,ucb,7,0.30000000000000004,10.0,-10
72,ucb,7,0.4,14.5,-8
73,ucb,7,0.5,9.0,-11
74,ucb,7,0.6000000000000001,7.5,-11
75,ucb,7,0.7000000000000001,12.0,-8
76,ucb,7,0.8,11.0,-6
77,ucb,7,0.9,10.0,-8
78,ucb,8,0.0,13.0,-10
79,ucb,8,0.1,9.0,-10
80,ucb,8,0.2,8.5,-9
81,ucb,8,0.4,9.5,-11
82,ucb,8,0.5,7.0,-9
83,ucb,8,0.6000000000000001,11.5,-10
84,ucb,8,0.7000000000000001,6.0,-12
85,ucb,8,0.9,7.0,-11
86,ucb,9,0.0,7.0,-11
87,ucb,9,0.1,15.5,-13
88,ucb,9,0.2,12.0,-9
89,ucb,9,0.30000000000000004,7.5,-10
90,ucb,9,0.4,13.0,-11
91,ucb,9,0.5,16.0,-12
92,ucb,9,0.6000000000000001,8.0,-11
93,ucb,9,0.7000000000000001,7.5,-13
94,ucb,9,0.8,13.5,-7
95,ucb,9,0.9,13.0,-11
96,ei,0,0.0,14.5,-7
97,ei,0,0.1,13.0,-8
98,ei,0,0.2,12.5,-8
99,ei,0,0.30000000000000004,14.0,-9
100,ei,0,0.4,14.0,-8
101,ei,0,0.5,15.5,-12
102,ei,0,0.6000000000000001,15.5,-6
103,ei,0,0.7000000000000001,15.5,-10
104,ei,0,0.8,14.5,-10
105,ei,0,0.9,16.5,-7
106,ei,1,0.0,14.0,-8
107,ei,1,0.1,14.0,-8
108,ei,1,0.2,14.0,-9
109,ei,1,0.30000000000000004,11.5,-5
110,ei,1,0.4,15.5,-9
111,ei,1,0.5,14.5,-9
112,ei,1,0.6000000000000001,13.0,-6
113,ei,1,0.7000000000000001,14.5,-5
114,ei,1,0.8,11.0,-7
115,ei,1,0.9,14.5,-8
116,ei,2,0.0,12.5,-7
117,ei,2,0.1,12.5,-8
118,ei,2,0.2,14.5,-8
