,acquisition_function,kappa,xi,median_best_solution,mean_loss
0,ucb,0,0.0,11.5,-2.44
1,ucb,0,0.1,11.5,-1.64
2,ucb,0,0.2,11.5,-2.08
3,ucb,0,0.30000000000000004,13.0,-1.95
4,ucb,0,0.4,11.5,-1.63
5,ucb,0,0.5,11.5,-1.47
6,ucb,0,0.6000000000000001,15.0,-1.1199999999999999
7,ucb,0,0.7000000000000001,14.5,-2.08
8,ucb,0,0.8,11.5,-1.75
9,ucb,0,0.9,9.0,-2.57
10,ucb,1,0.0,13.0,-1.18
11,ucb,1,0.1,11.0,-1.63
12,ucb,1,0.2,14.5,-1.3
13,ucb,1,0.30000000000000004,12.0,-1.3900000000000001
14,ucb,1,0.4,14.5,-0.96
15,ucb,1,0.5,15.0,-0.99
16,ucb,1,0.6000000000000001,9.0,-1.58
17,ucb,1,0.7000000000000001,12.5,-1.78
18,ucb,1,0.8,12.0,-0.96
19,ucb,2,0.1,11.5,-0.68
20,ucb,2,0.2,15.0,-1.12
21,ucb,2,0.30000000000000004,14.5,-1.48
22,ucb,2,0.4,15.5,-1.49
23,ucb,2,0.5,16.5,-1.04
24,ucb,2,0.6000000000000001,16.0,-0.78
25,ucb,2,0.7000000000000001,12.0,-0.85
26,ucb,2,0.8,12.0,-1.13
27,ucb,2,0.9,14.0,-1.1400000000000001
28,ucb,3,0.0,15.0,-1.39
29,ucb,3,0.1,17.5,-0.87
30,ucb,3,0.2,18.0,-0.76
31,ucb,3,0.4,15.0,-1.0
32,ucb,3,0.5,15.5,-0.76
33,ucb,3,0.6000000000000001,13.0,-1.45
34,ucb,3,0.7000000000000001,15.5,-1.05
35,ucb,3,0.8,15.0,-1.09
36,ucb,3,0.9,18.0,-0.95
37,ucb,4,0.0,10.5,-1.65
38,ucb,4,0.1,16.5,-1.4
39,ucb,4,0.2,14.5,-1.2
40,ucb,4,0.30000000000000004,17.0,-1.31
41,ucb,4,0.4,16.5,-1.35
42,ucb,4,0.5,12.5,-1.02
43,ucb,4,0.6000000000000001,12.5,-1.46
44,ucb,4,0.7000000000000001,15.0,-1.24
45,ucb,4,0.8,9.0,-1.6
46,ucb,4,0.9,16.0,-1.33
47,ucb,5,0.0,15.0,-1.16
48,ucb,5,0.1,13.0,-1.98
49,ucb,5,0.2,10.5,-1.24
50,ucb,5,0.30000000000000004,10.0,-1.32
51,ucb,5,0.4,11.0,-1.52
52,ucb,5,0.5,9.5,-1.97
53,ucb,5,0.6000000000000001,14.0,-1.37
54,ucb,5,0.7000000000000001,15.5,-1.3499999999999999
55,ucb,5,0.8,13.5,-1.69
56,ucb,5,0.9,14.5,-1.48
57,ucb,6,0.0,8.5,-2.05
58,ucb,6,0.1,13.0,-1.57
59,ucb,6,0.2,14.0,-1.69
60,ucb,6,0.30000000000000004,9.0,-1.46
61,ucb,6,0.4,14.0,-1.7
62,ucb,6,0.6000000000000001,13.5,-1.94
63,ucb,6,0.7000000000000001,11.0,-1.16
64,ucb,6,0.8,10.5,-1.97
65,ucb,6,0.9,12.5,-1.92
66,ucb,7,0.0,13.0,-1.48
67,ucb,7,0.1,11.0,-1.65
68,ucb,7,0.2,8.5,-1.91
69,ucb,7,0.30000000000000004,12.0,-2.16
70,ucb,7,0.4,9.5,-1.94
71,ucb,7,0.5,15.5,-1.67
72,ucb,7,0.6000000000000001,11.5,-2.07
73,ucb,7,0.7000000000000001,9.5,-2.38
74,ucb,7,0.8,16.0,-1.58
75,ucb,7,0.9,10.5,-1.45
76,ucb,8,0.0,12.5,-1.87
77,ucb,8,0.1,12.5,-1.98
78,ucb,8,0.2,8.0,-1.98
79,ucb,8,0.30000000000000004,4.5,-1.27
80,ucb,8,0.4,11.0,-1.77
81,ucb,8,0.5,10.0,-1.99
82,ucb,8,0.6000000000000001,6.5,-2.21
83,ucb,8,0.7000000000000001,11.0,-1.57
84,ucb,8,0.8,7.5,-2.07
85,ucb,8,0.9,8.0,-1.65
86,ucb,9,0.0,8.5,-2.88
87,ucb,9,0.1,8.5,-2.08
88,ucb,9,0.2,6.5,-1.56
