,acquisition_function,kappa,xi,median_best_solution,mean_loss
0,ei,1,0.5,13.0,-1.093
1,ei,1,0.6,14.0,-1.079
2,ei,1,0.7,13.0,-0.973
3,ei,1,0.7999999999999999,13.0,-1.055
4,ei,1,0.8999999999999999,13.5,-1.262
5,ei,1,0.9999999999999999,13.0,-1.335
6,ei,1,1.1999999999999997,13.5,-1.322
7,ei,1,1.2999999999999998,14.0,-1.274
8,ei,1,1.4,14.0,-1.175
9,ei,2,0.5,13.0,-1.15
10,ei,2,0.6,14.0,-1.058
11,ei,2,0.7,13.0,-1.205
12,ei,2,0.7999999999999999,15.0,-1.142
13,ei,2,0.9999999999999999,15.0,-1.263
14,ei,2,1.0999999999999999,14.0,-1.154
15,ei,2,1.1999999999999997,15.0,-1.027
16,ei,2,1.2999999999999998,15.0,-1.078
17,ei,3,0.6,13.0,-1.183
18,ei,3,0.7999999999999999,14.0,-1.134
19,ei,3,0.8999999999999999,14.0,-1.073
20,ei,3,0.9999999999999999,14.0,-1.141
21,ei,3,1.0999999999999999,13.0,-1.009
22,ei,3,1.4,14.0,-1.199
23,ei,4,0.5,14.0,-1.086
24,ei,4,0.6,13.0,-1.199
25,ei,4,0.7,13.0,-1.191
26,ei,4,0.8999999999999999,14.0,-1.34
27,ei,4,0.9999999999999999,13.0,-1.278
28,ei,4,1.0999999999999999,13.0,-1.078
29,ei,4,1.1999999999999997,14.0,-1.202
30,ei,4,1.2999999999999998,14.0,-1.35
31,ei,4,1.4,15.0,-1.185
32,ei,5,0.5,14.0,-1.2429999999999999
33,ei,5,0.6,14.0,-1.217
34,ei,5,0.7,15.0,-1.244
35,ei,5,0.8999999999999999,13.0,-1.2489999999999999
36,ei,5,0.9999999999999999,14.0,-1.115
37,ei,5,1.1999999999999997,14.0,-1.183
38,ei,5,1.2999999999999998,13.0,-1.263
